source_file,channel,supplier_or_station,document_title,please_note
Jozi FM - Club Package - Generic & Pre-Rolls - 6 Months - 2026.pdf,Radio,- JOZI FM,- JOZI FM GENERIC & STREAMING PRE-ROLL PACKAGE - 6 Months - 2025,ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD. | ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD. | RATES ARE NET AND EXCLUDE VAT. | ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD. | RATES ARE NET AND EXCLUDE VAT.
Jozi FM - Plan A - Generic Only - 2026.pdf,Radio,JOZI FM,JOZI FM PLAN A - MON TO SUN - 2WKS P/M - 6MTHS,ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD. | RATES ARE NET AND EXCLUDE VAT.
Jozi FM - Plan A - Generic & Sponsorship - 2026.pdf,Radio,- JOZI FM,- JOZI FM PLAN A - MON TO SUN - 2WKS P/M - 6MTHS INVESTMENT SUMMARY,ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD. | THAT THE RATES ARE NET AND EXCLUDE VAT. | ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD. | THAT THE RATES ARE NET AND EXCLUDE VAT.
Algoa FM - Algoa Club Package - Plan A - Generic & Sponsorship -2026.pdf,Radio,ALGOA FM,ALGOA FM ALGOA CLUB - PLAN A - MON TO SUN - 2WKS P/M - 6MTHS INVESTMENT SUMMARY,ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD. | THAT THE RATES ARE NET AND EXCLUDE VAT. | ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD. | THAT THE RATES ARE NET AND EXCLUDE VAT.
Smile 90.4FM - Impact Plus package - 2026.pdf,Radio,SMILE 90.4FM,"SMILE 90.4FM IMPACT PLUS PACKAGE: Generics, Feature Sponsorship & Social Media INVESTMENT SUMMARY - IMPACT PLUS PACKAGE (4 weeks)","HARDCOSTS, PRESENTER FEES AND PRIZES MUST BE PAID UPFRONT UPON BOOKING. | ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD. | THAT THE RATES ARE NET AND EXCLUDE VAT. | ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD. | THAT THE RATES ARE NET AND EXCLUDE VAT. | ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD. | THAT THE RATES ARE NET AND EXCLUDE VAT. | ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD. | THAT THE RATES ARE NET AND EXCLUDE VAT."
Direct Kaya Packages (Discounted)  (1).pdf,Radio,KAYA 959,KAYA 959 CAMPAIGN NAME DIRECT KAYA DISCOUNTED PACKAGES,"ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD. | ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD.                                                                                                                                                                                                                                                                             TOTAL INVOICE                                                          R                                                                      26 450,00 | THAT THE RATES ARE NET AND EXCLUDE VAT.                                                                                                                                                                                                                                                                                                                                                                                                                                               23000 | ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD.                                                                                                                                                                                                                                                                      TOTAL INVOICE                                                          R                                                                       33 350,00 | THAT THE RATES ARE NET AND EXCLUDE VAT. | ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD.                                                                                                                                                                                                                                                                       TOTAL INVOICE                                                          R                                                                      25 300,00 | THAT THE RATES ARE NET AND EXCLUDE VAT. | ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD.                                                                                                                                                                                                                                                  TOTAL INVOICE                                                          R                                                                       36 800,00 | THAT THE RATES ARE NET AND EXCLUDE VAT. | ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD.                                                                                                                                                                                                                                                    TOTAL INVOICE                                                          R                                                                       87 400,00 | THAT THE RATES ARE NET AND EXCLUDE VAT."
Algoa FM - Algoa Club Package - Plan A - Generic Only -2026.pdf,Radio,ALGOA FM,ALGOA FM ALGOA CLUB - PLAN A - MON TO SUN - 2WKS P/M - 6MTHS,ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD. | RATES ARE NET AND EXCLUDE VAT.
Direct Kaya Packages (Discounted) .pdf,Radio,KAYA 959,KAYA 959 CAMPAIGN NAME DIRECT KAYA DISCOUNTED PACKAGES,"ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD. | ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD.                                                                                                                                                                                                                                                                             TOTAL INVOICE                                                          R                                                                      26 450,00 | THAT THE RATES ARE NET AND EXCLUDE VAT.                                                                                                                                                                                                                                                                                                                                                                                                                                               23000 | ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD.                                                                                                                                                                                                                                                                      TOTAL INVOICE                                                          R                                                                       33 350,00 | THAT THE RATES ARE NET AND EXCLUDE VAT. | ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD.                                                                                                                                                                                                                                                                       TOTAL INVOICE                                                          R                                                                      25 300,00 | THAT THE RATES ARE NET AND EXCLUDE VAT. | ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD.                                                                                                                                                                                                                                                  TOTAL INVOICE                                                          R                                                                       36 800,00 | THAT THE RATES ARE NET AND EXCLUDE VAT. | ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD.                                                                                                                                                                                                                                                    TOTAL INVOICE                                                          R                                                                       87 400,00 | THAT THE RATES ARE NET AND EXCLUDE VAT."
Algoa FM - Club Package - Generic & Pre-Rolls - 6 Months - 2026.pdf,Radio,ALGOA FM,ALGOA FM GENERIC & STREAMING PRE-ROLL PACKAGE - 6 Months,ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD. | ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD. | RATES ARE NET AND EXCLUDE VAT. | ALL BOOKINGS ARE SUBJECT TO A 28 DAYS WRITTEN CANCELLATION NOTICE PERIOD. | RATES ARE NET AND EXCLUDE VAT.
Y PACKAGES ONE PAGER.pdf,Radio,OPPORTUNITIES ON,OPPORTUNITIES ON E-COMMERCE PACKAGE 50 FOR 50 PACKAGE 100 FOR 100 LIVE READS + DIGITAL GENERICS GENERCIS + DIGITAL 1 WEEK 4 WEEKS 4 WEEK,
