source_file,channel,supplier_or_station,element_name,exposure,value_zar,saving_or_discount_zar,investment_zar,duration,notes
Jozi FM - Club Package - Generic & Pre-Rolls - 6 Months - 2026.pdf,Radio,- JOZI FM,"CLUB - Generics - 30"" Recorded Commercial - Mon to Sun",180,R478 860,R239 430,R239 430,,
Jozi FM - Club Package - Generic & Pre-Rolls - 6 Months - 2026.pdf,Radio,- JOZI FM,"KAYA STREAM - 25,000 x 30"" Recorded Pre-Rolls p/m - Mon to Sun",150 000,R97 500,R0,R97 500,,
Jozi FM - Plan A - Generic Only - 2026.pdf,Radio,JOZI FM,"GENERIC - 30"" RECORDED COMMERCIAL - MON TO SUN",180,R478 860,,,,
Jozi FM - Plan A - Generic & Sponsorship - 2026.pdf,Radio,- JOZI FM,"GENERIC - 30"" RECORDED COMMERCIAL - MON TO SUN",120,R327 240,,,,
Jozi FM - Plan A - Generic & Sponsorship - 2026.pdf,Radio,- JOZI FM,SPONSORSHIP (NEWS/WEATHER/TRAFFIC/SPORT) - MON TO FRI,60,R249 975,,,,
Algoa FM - Algoa Club Package - Plan A - Generic & Sponsorship -2026.pdf,Radio,ALGOA FM,"GENERIC - 30"" Recorded Commercial - Mon to Sun - 1 Week Per Month",114,R291 060,,,,
Algoa FM - Algoa Club Package - Plan A - Generic & Sponsorship -2026.pdf,Radio,ALGOA FM,REPORT SPONSORSHIP (weather/traffic/news/sport),30,R157 500,,,,
Smile 90.4FM - Impact Plus package - 2026.pdf,Radio,SMILE 90.4FM,GENERICS,25,R60 960,R15 240,R45 720,,
Smile 90.4FM - Impact Plus package - 2026.pdf,Radio,SMILE 90.4FM,"FEATURE SPONSORSHIP (news, traffic, weather, or sport)",10,R59 250,R14 813,R44 438,,
Smile 90.4FM - Impact Plus package - 2026.pdf,Radio,SMILE 90.4FM,SOCIAL MEDIA (Facebook & X),8,R28 000,R2 800,R25 200,,
Smile 90.4FM - Impact Plus package - 2026.pdf,Radio,SMILE 90.4FM,SOCIAL MEDIA BOOSTING (FB),4,R2 000,R0,R2 000,,
Direct Kaya Packages (Discounted)  (1).pdf,Radio,KAYA 959,Weekend Package,32,R75 840,R53 840,R22 000,,
Direct Kaya Packages (Discounted)  (1).pdf,Radio,KAYA 959,Retail Package,16,R106 770,R74 770,R32 000,,
Direct Kaya Packages (Discounted)  (1).pdf,Radio,KAYA 959,Powerweek,38,R255 240,R179 240,R76 000,,
Direct Kaya Packages (Discounted)  (1).pdf,Radio,KAYA 959,Lunch Time,16,R91 920,R68 920,R23 000,,
Direct Kaya Packages (Discounted)  (1).pdf,Radio,KAYA 959,Workzone,20,R133 950,R104 950,R33 350,,
Algoa FM - Algoa Club Package - Plan A - Generic Only -2026.pdf,Radio,ALGOA FM,"GENERIC - 30"" RECORDED COMMERCIAL - MON TO SUN",180,R495 780,,,,
Direct Kaya Packages (Discounted) .pdf,Radio,KAYA 959,Weekend Package,32,R75 840,R53 840,R22 000,,
Direct Kaya Packages (Discounted) .pdf,Radio,KAYA 959,Retail Package,16,R106 770,R74 770,R32 000,,
Direct Kaya Packages (Discounted) .pdf,Radio,KAYA 959,Powerweek,38,R255 240,R179 240,R76 000,,
Direct Kaya Packages (Discounted) .pdf,Radio,KAYA 959,Lunch Time,16,R91 920,R68 920,R23 000,,
Direct Kaya Packages (Discounted) .pdf,Radio,KAYA 959,Workzone,20,R133 950,R104 950,R33 350,,
Algoa FM - Club Package - Generic & Pre-Rolls - 6 Months - 2026.pdf,Radio,ALGOA FM,"CLUB - Generics - 30"" Recorded Commercial - Mon to Sun",180,R495 780,R247 890,R247 890,,
Algoa FM - Club Package - Generic & Pre-Rolls - 6 Months - 2026.pdf,Radio,ALGOA FM,Pre-roll commercial ahead of a live stream (guaranteed listens),138 462,R90 000,R0,R90 000,,
Y PACKAGES ONE PAGER.pdf,Radio,Y,E-COMMERCE PACKAGE,,R120 875,,R22 382,1 WEEK,LIVE READS + DIGITAL
Y PACKAGES ONE PAGER.pdf,Radio,Y,50 FOR 50 PACKAGE,,R302 200,,R51 374,4 WEEKS,GENERICS
Y PACKAGES ONE PAGER.pdf,Radio,Y,100 FOR 100,,R601 400,,R118 252,4 WEEK,GENERCIS + DIGITAL
